frame ft primitives
3 16.900000 80000.000000
4 17.600000 80000.000000
5 17.299999 80000.000000
6 17.000000 80000.000000
7 17.000000 80000.000000
8 16.900000 80000.000000
9 16.799999 80000.000000
10 17.900000 80000.000000
11 17.200001 80000.000000
12 17.799999 80000.000000
13 17.900000 80000.000000
14 17.700001 80000.000000
15 17.100000 80000.000000
16 16.900000 80000.000000
17 17.900000 80000.000000
18 17.799999 80000.000000
19 17.299999 80000.000000
20 17.400000 80000.000000
21 17.400000 80000.000000
22 17.000000 80000.000000
23 17.200001 80000.000000
24 26.299999 80000.000000
25 16.600000 80000.000000
26 17.000000 80000.000000
27 16.900000 80000.000000
28 17.299999 80000.000000
29 17.600000 80000.000000
30 17.000000 80000.000000
31 16.799999 80000.000000
32 17.299999 80000.000000
33 16.600000 80000.000000
34 17.200001 80000.000000
35 16.600000 80000.000000
36 16.900000 80000.000000
37 16.500000 80000.000000
38 17.299999 80000.000000
39 17.000000 80000.000000
40 17.400000 80000.000000
41 16.700001 80000.000000
42 16.700001 80000.000000
43 16.900000 80000.000000
44 17.200001 80000.000000
45 17.200001 80000.000000
46 16.200001 80000.000000
47 17.000000 80000.000000
48 17.100000 80000.000000
49 17.299999 80000.000000
50 17.000000 80000.000000
51 16.600000 80000.000000
52 17.500000 80000.000000
53 17.200001 80000.000000
54 17.400000 80000.000000
55 17.500000 80000.000000
56 17.100000 80000.000000
57 16.900000 80000.000000
58 17.400000 80000.000000
59 17.100000 80000.000000
60 17.600000 80000.000000
61 17.400000 80000.000000
62 17.200001 80000.000000
63 17.299999 80000.000000
64 17.200001 80000.000000
65 17.200001 80000.000000
66 17.200001 80000.000000
67 16.900000 80000.000000
68 17.000000 80000.000000
69 16.700001 80000.000000
70 16.200001 80000.000000
71 16.700001 80000.000000
72 17.000000 80000.000000
73 16.900000 80000.000000
74 16.700001 80000.000000
75 17.100000 80000.000000
76 16.700001 80000.000000
77 16.700001 80000.000000
78 17.000000 80000.000000
79 17.500000 80000.000000
80 16.299999 80000.000000
81 17.400000 80000.000000
82 16.500000 80000.000000
83 17.200001 80000.000000
84 17.100000 80000.000000
85 16.799999 80000.000000
86 16.900000 80000.000000
87 16.700001 80000.000000
88 16.900000 80000.000000
89 16.900000 80000.000000
90 16.799999 80000.000000
91 16.900000 80000.000000
92 16.700001 80000.000000
93 17.400000 80000.000000
94 16.799999 80000.000000
95 17.000000 80000.000000
96 16.799999 80000.000000
97 17.000000 80000.000000
98 16.799999 80000.000000
99 16.500000 80000.000000
100 16.600000 80000.000000
101 17.400000 80000.000000
102 16.500000 80000.000000
103 16.700001 80000.000000
104 16.900000 80000.000000
105 17.100000 80000.000000
106 17.000000 80000.000000
107 17.500000 80000.000000
108 17.200001 80000.000000
109 17.100000 80000.000000
110 16.900000 80000.000000
111 16.799999 80000.000000
112 16.799999 80000.000000
113 16.799999 80000.000000
114 17.200001 80000.000000
115 17.200001 80000.000000
116 16.900000 80000.000000
117 16.799999 80000.000000
118 17.100000 80000.000000
119 16.900000 80000.000000
120 17.100000 80000.000000
121 17.500000 80000.000000
122 16.799999 80000.000000
123 17.000000 80000.000000
124 16.799999 80000.000000
125 17.200001 80000.000000
126 17.100000 80000.000000
127 17.000000 80000.000000
128 17.000000 80000.000000
129 16.900000 80000.000000
130 17.100000 80000.000000
131 17.000000 80000.000000
132 16.900000 80000.000000
133 17.299999 80000.000000
134 17.000000 80000.000000
135 17.400000 80000.000000
136 16.600000 80000.000000
137 17.100000 80000.000000
138 17.100000 80000.000000
139 17.000000 80000.000000
140 16.900000 80000.000000
141 17.000000 80000.000000
142 17.299999 80000.000000
143 17.000000 80000.000000
144 17.100000 80000.000000
145 17.000000 80000.000000
146 16.700001 80000.000000
147 16.799999 80000.000000
148 16.400000 80000.000000
149 16.700001 80000.000000
150 16.900000 80000.000000
151 16.900000 80000.000000
152 14.400000 80000.000000
153 14.100000 80000.000000
154 14.200000 80000.000000
155 14.300000 80000.000000
156 14.200000 80000.000000
157 14.400000 80000.000000
158 14.500000 80000.000000
159 14.500000 80000.000000
160 14.100000 80000.000000
161 14.000000 80000.000000
162 14.100000 80000.000000
163 14.100000 80000.000000
164 14.300000 80000.000000
165 14.200000 80000.000000
166 14.300000 80000.000000
167 14.200000 80000.000000
168 14.200000 80000.000000
169 14.700000 80000.000000
170 14.100000 80000.000000
171 14.000000 80000.000000
172 14.200000 80000.000000
173 14.500000 80000.000000
174 14.000000 80000.000000
175 14.100000 80000.000000
176 14.000000 80000.000000
177 14.100000 80000.000000
178 14.200000 80000.000000
179 14.500000 80000.000000
180 14.100000 80000.000000
181 14.200000 80000.000000
182 14.100000 80000.000000
183 14.100000 80000.000000
184 14.500000 80000.000000
185 14.200000 80000.000000
186 14.600000 80000.000000
187 14.200000 80000.000000
188 14.000000 80000.000000
189 14.100000 80000.000000
190 14.300000 80000.000000
191 14.500000 80000.000000
192 14.500000 80000.000000
193 14.300000 80000.000000
194 14.100000 80000.000000
195 14.000000 80000.000000
196 14.000000 80000.000000
197 14.500000 80000.000000
198 14.100000 80000.000000
199 14.100000 80000.000000
200 14.500000 80000.000000
201 14.200000 80000.000000
202 14.200000 80000.000000
203 14.700000 80000.000000
204 14.100000 80000.000000
205 15.100000 80000.000000
206 15.300000 80000.000000
207 15.000000 80000.000000
208 14.800000 80000.000000
209 14.900000 80000.000000
210 14.700000 80000.000000
211 15.300000 80000.000000
212 15.200000 80000.000000
213 14.800000 80000.000000
214 15.200000 80000.000000
215 15.300000 80000.000000
216 15.100000 80000.000000
217 15.100000 80000.000000
218 14.400000 80000.000000
219 14.500000 80000.000000
220 14.200000 80000.000000
221 14.000000 80000.000000
222 14.300000 80000.000000
223 14.000000 80000.000000
224 14.400000 80000.000000
225 14.200000 80000.000000
226 14.300000 80000.000000
227 14.100000 80000.000000
228 14.000000 80000.000000
229 14.100000 80000.000000
230 14.200000 80000.000000
231 14.100000 80000.000000
232 14.200000 80000.000000
233 14.400000 80000.000000
234 14.100000 80000.000000
235 14.000000 80000.000000
236 14.100000 80000.000000
237 14.000000 80000.000000
238 14.500000 80000.000000
239 14.500000 80000.000000
240 14.100000 80000.000000
241 14.100000 80000.000000
242 14.000000 80000.000000
243 14.500000 80000.000000
244 14.800000 80000.000000
245 14.200000 80000.000000
246 14.600000 80000.000000
247 14.200000 80000.000000
248 14.000000 80000.000000
249 14.100000 80000.000000
250 14.300000 80000.000000
251 14.000000 80000.000000
252 14.100000 80000.000000
253 14.300000 80000.000000
254 14.000000 80000.000000
255 14.100000 80000.000000
256 14.200000 80000.000000
257 14.200000 80000.000000
258 14.500000 80000.000000
259 14.400000 80000.000000
260 14.000000 80000.000000
261 14.100000 80000.000000
262 14.300000 80000.000000
263 14.400000 80000.000000
264 14.200000 80000.000000
265 14.000000 80000.000000
266 14.200000 80000.000000
