frame ft primitives
3 22.900000 4474505.000000
4 20.299999 4419277.500000
5 19.600000 4352423.000000
6 18.600000 4297900.000000
7 21.400000 4249939.000000
8 20.700001 4209871.500000
9 18.100000 4162447.250000
10 19.500000 4106656.000000
11 19.900000 4072414.500000
12 18.900000 4026649.500000
13 16.100000 3972427.500000
14 16.700001 3919941.500000
15 18.900000 3883716.750000
16 16.200001 3848844.000000
17 20.299999 3805292.500000
18 14.100000 3754234.500000
19 16.299999 3736260.750000
20 16.000000 3698868.500000
21 15.900000 3645592.000000
22 18.100000 3613556.750000
23 16.200001 3594082.500000
24 16.200001 3564122.500000
25 17.200001 3525306.000000
26 13.300000 3503156.500000
27 16.799999 3462436.500000
28 17.299999 3428772.500000
29 16.700001 3373926.750000
30 17.200001 3321047.750000
31 16.000000 3283796.750000
32 14.700000 3263907.500000
33 15.400000 3298936.000000
34 18.000000 3356609.250000
35 16.400000 3414302.500000
36 15.400000 3457697.250000
37 16.299999 3485780.750000
38 17.200001 3518453.250000
39 15.400000 3541008.500000
40 16.900000 3576341.250000
41 15.800000 3598980.000000
42 14.900000 3629354.750000
43 14.900000 3640943.250000
44 17.200001 3690887.500000
45 14.800000 3739900.750000
46 16.200001 3767587.250000
47 16.400000 3804676.500000
48 16.100000 3818238.500000
49 18.200001 3850265.250000
50 16.100000 3887748.000000
51 19.200001 3926164.000000
52 17.100000 3978648.000000
53 21.500000 4020062.500000
54 19.100000 4088016.750000
55 21.700001 4167333.250000
56 20.600000 4242071.000000
57 22.700001 4309155.500000
58 24.799999 4359982.000000
59 22.000000 4419855.000000
60 21.900000 4485419.000000
61 22.400000 4573717.000000
62 17.400000 4565030.000000
63 23.299999 4529281.000000
64 23.200001 4479958.500000
65 22.900000 4426210.500000
66 21.000000 4370655.000000
67 20.799999 4317085.500000
68 18.000000 4288443.000000
69 22.600000 4265953.000000
70 22.000000 4224760.500000
71 21.100000 4192720.000000
72 19.900000 4143402.500000
73 20.299999 4121168.000000
74 21.000000 4068844.750000
75 20.900000 4024888.750000
76 15.700000 3984490.500000
77 21.700001 3937385.250000
78 18.200001 3902668.500000
79 15.600000 3881770.000000
80 19.700001 3863549.250000
81 14.000000 3824818.000000
82 20.000000 3791308.000000
83 13.700000 3781253.250000
84 16.000000 3751764.750000
85 16.000000 3699135.250000
86 19.400000 3670591.500000
87 16.000000 3622216.000000
88 14.600000 3585756.500000
89 14.500000 3554540.750000
90 17.799999 3513747.250000
91 15.800000 3474307.500000
92 15.400000 3441878.500000
93 16.100000 3388208.000000
