frame ft primitives
3 70.900002 9424800.000000
4 71.400002 9424800.000000
5 70.699997 9424800.000000
6 70.699997 9424800.000000
7 71.099998 9424800.000000
8 70.900002 9424800.000000
9 70.900002 9424800.000000
10 71.000000 9424800.000000
11 71.199997 9424800.000000
12 70.900002 9424800.000000
13 78.599998 9424800.000000
14 71.099998 9424800.000000
15 70.699997 9424800.000000
16 70.599998 9424800.000000
17 82.000000 9424800.000000
18 65.800003 9424800.000000
19 70.099998 9424800.000000
20 70.500000 9424800.000000
21 70.500000 9424800.000000
22 70.000000 9424800.000000
23 74.800003 9424800.000000
24 67.300003 9424800.000000
25 71.000000 9424800.000000
26 70.800003 9424800.000000
27 77.800003 9424800.000000
28 77.400002 9424800.000000
29 66.300003 9424800.000000
30 71.199997 9424800.000000
31 78.400002 9424800.000000
32 81.800003 9424800.000000
33 76.500000 9424800.000000
34 67.500000 9424800.000000
35 70.800003 9424800.000000
36 71.500000 9424800.000000
37 71.599998 9424800.000000
38 71.800003 9424800.000000
39 71.300003 9424800.000000
40 70.800003 9424800.000000
41 70.599998 9424800.000000
42 71.500000 9424800.000000
43 71.800003 9424800.000000
44 72.000000 9424800.000000
45 71.800003 9424800.000000
46 71.800003 9424800.000000
47 84.000000 9424800.000000
48 70.099998 9424800.000000
49 76.000000 9424800.000000
50 67.900002 9424800.000000
51 84.500000 9424800.000000
52 70.800003 9424800.000000
53 71.000000 9424800.000000
54 70.900002 9424800.000000
55 70.800003 9424800.000000
56 70.800003 9424800.000000
57 71.400002 9424800.000000
58 72.800003 9424800.000000
59 72.800003 9424800.000000
60 72.400002 9424800.000000
61 72.599998 9424800.000000
62 72.099998 9424800.000000
63 72.800003 9424800.000000
64 72.800003 9424800.000000
65 72.599998 9424800.000000
66 73.000000 9424800.000000
67 73.099998 9424800.000000
68 73.000000 9424800.000000
69 73.400002 9424800.000000
70 73.900002 9424800.000000
71 72.699997 9424800.000000
72 72.699997 9424800.000000
73 72.900002 9424800.000000
74 72.599998 9424800.000000
75 72.400002 9424800.000000
76 72.500000 9424800.000000
77 72.099998 9424800.000000
78 72.500000 9424800.000000
79 72.500000 9424800.000000
80 72.500000 9424800.000000
81 73.400002 9424800.000000
82 72.599998 9424800.000000
83 72.699997 9424800.000000
84 72.900002 9424800.000000
85 72.500000 9424800.000000
86 72.300003 9424800.000000
87 72.400002 9424800.000000
88 71.800003 9424800.000000
89 71.699997 9424800.000000
90 70.900002 9424800.000000
91 86.699997 9424800.000000
92 59.000000 9424800.000000
93 70.199997 9424800.000000
94 70.300003 9424800.000000
95 69.900002 9424800.000000
96 70.199997 9424800.000000
97 69.800003 9424800.000000
98 70.099998 9424800.000000
99 69.800003 9424800.000000
100 81.199997 9424800.000000
101 58.500000 9424800.000000
102 69.599998 9424800.000000
103 77.699997 9424800.000000
104 62.599998 9424800.000000
105 70.300003 9424800.000000
106 70.300003 9424800.000000
107 69.599998 9424800.000000
108 69.199997 9424800.000000
109 80.099998 9424800.000000
110 66.599998 9424800.000000
111 73.900002 9424800.000000
112 74.199997 9424800.000000
113 70.699997 9424800.000000
114 69.000000 9424800.000000
115 68.900002 9424800.000000
116 70.800003 9424800.000000
117 69.199997 9424800.000000
118 70.400002 9424800.000000
119 71.400002 9424800.000000
120 73.699997 9424800.000000
121 67.800003 9424800.000000
122 70.300003 9424800.000000
123 70.800003 9424800.000000
124 70.800003 9424800.000000
125 71.000000 9424800.000000
126 70.000000 9424800.000000
127 77.300003 9424800.000000
128 69.400002 9424800.000000
129 71.199997 9424800.000000
130 64.000000 9424800.000000
131 69.400002 9424800.000000
132 78.300003 9424800.000000
133 68.599998 9424800.000000
134 70.000000 9424800.000000
135 69.500000 9424800.000000
136 81.099998 9424800.000000
137 58.400002 9424800.000000
138 77.800003 9424800.000000
139 64.000000 9424800.000000
140 70.000000 9424800.000000
141 69.300003 9424800.000000
142 69.599998 9424800.000000
143 69.599998 9424800.000000
144 69.900002 9424800.000000
145 70.000000 9424800.000000
146 70.099998 9424800.000000
147 70.000000 9424800.000000
148 70.300003 9424800.000000
149 69.800003 9424800.000000
150 69.900002 9424800.000000
151 72.900002 9424800.000000
152 67.800003 9424800.000000
153 71.400002 9424800.000000
154 71.699997 9424800.000000
155 70.599998 9424800.000000
156 70.400002 9424800.000000
157 70.300003 9424800.000000
158 70.400002 9424800.000000
159 71.000000 9424800.000000
160 71.000000 9424800.000000
161 70.699997 9424800.000000
162 70.800003 9424800.000000
163 71.500000 9424800.000000
164 71.500000 9424800.000000
165 72.400002 9424800.000000
166 72.000000 9424800.000000
167 71.699997 9424800.000000
168 71.300003 9424800.000000
169 71.199997 9424800.000000
170 70.800003 9424800.000000
171 70.900002 9424800.000000
172 70.400002 9424800.000000
173 70.199997 9424800.000000
174 70.699997 9424800.000000
175 70.000000 9424800.000000
176 70.099998 9424800.000000
177 69.900002 9424800.000000
178 70.000000 9424800.000000
179 69.800003 9424800.000000
180 69.500000 9424800.000000
181 69.199997 9424800.000000
182 69.300003 9424800.000000
183 68.900002 9424800.000000
184 69.000000 9424800.000000
185 68.800003 9424800.000000
186 69.000000 9424800.000000
187 68.500000 9424800.000000
188 68.500000 9424800.000000
189 68.300003 9424800.000000
190 68.500000 9424800.000000
191 68.099998 9424800.000000
192 68.300003 9424800.000000
193 68.199997 9424800.000000
194 68.400002 9424800.000000
195 68.199997 9424800.000000
196 68.300003 9424800.000000
197 68.300003 9424800.000000
198 68.599998 9424800.000000
199 68.000000 9424800.000000
200 68.199997 9424800.000000
201 68.000000 9424800.000000
202 67.900002 9424800.000000
203 67.900002 9424800.000000
204 67.699997 9424800.000000
205 67.599998 9424800.000000
206 67.699997 9424800.000000
207 67.800003 9424800.000000
208 67.599998 9424800.000000
209 67.400002 9424800.000000
210 67.900002 9424800.000000
211 67.300003 9424800.000000
212 67.099998 9424800.000000
213 67.599998 9424800.000000
214 67.300003 9424800.000000
215 67.400002 9424800.000000
216 67.500000 9424800.000000
217 67.199997 9424800.000000
218 67.199997 9424800.000000
219 67.300003 9424800.000000
220 67.300003 9424800.000000
221 67.199997 9424800.000000
222 67.300003 9424800.000000
223 67.500000 9424800.000000
224 67.099998 9424800.000000
225 67.000000 9424800.000000
226 67.099998 9424800.000000
227 66.900002 9424800.000000
228 66.800003 9424800.000000
229 66.599998 9424800.000000
230 66.400002 9424800.000000
231 66.300003 9424800.000000
232 66.199997 9424800.000000
233 66.099998 9424800.000000
234 66.300003 9424800.000000
235 66.400002 9424800.000000
236 66.300003 9424800.000000
237 65.900002 9424800.000000
238 66.099998 9424800.000000
239 66.099998 9424800.000000
240 66.099998 9424800.000000
241 65.800003 9424800.000000
242 65.900002 9424800.000000
243 65.900002 9424800.000000
244 65.400002 9424800.000000
245 65.599998 9424800.000000
246 65.500000 9424800.000000
247 65.800003 9424800.000000
248 66.000000 9424800.000000
249 65.400002 9424800.000000
250 65.300003 9424800.000000
251 65.300003 9424800.000000
252 65.099998 9424800.000000
253 64.800003 9424800.000000
254 64.800003 9424800.000000
255 64.199997 9424800.000000
256 64.300003 9424800.000000
257 64.199997 9424800.000000
258 63.700001 9424800.000000
259 63.799999 9424800.000000
260 64.300003 9424800.000000
261 63.400002 9424800.000000
262 63.599998 9424800.000000
263 63.500000 9424800.000000
264 63.700001 9424800.000000
265 63.599998 9424800.000000
266 63.299999 9424800.000000
267 63.299999 9424800.000000
268 63.299999 9424800.000000
269 63.099998 9424800.000000
270 63.200001 9424800.000000
271 63.099998 9424800.000000
272 62.799999 9424800.000000
273 63.799999 9424800.000000
274 63.200001 9424800.000000
275 63.599998 9424800.000000
276 64.099998 9424800.000000
277 64.500000 9424800.000000
278 65.000000 9424800.000000
279 64.699997 9424800.000000
280 65.000000 9424800.000000
281 64.800003 9424800.000000
282 65.500000 9424800.000000
283 65.699997 9424800.000000
284 65.199997 9424800.000000
285 65.599998 9424800.000000
286 66.199997 9424800.000000
287 65.800003 9424800.000000
288 66.099998 9424800.000000
289 66.300003 9424800.000000
290 66.900002 9424800.000000
291 67.199997 9424800.000000
292 67.300003 9424800.000000
293 67.500000 9424800.000000
294 68.300003 9424800.000000
295 68.900002 9424800.000000
296 69.300003 9424800.000000
297 69.599998 9424800.000000
298 70.500000 9424800.000000
299 70.500000 9424800.000000
300 70.199997 9424800.000000
301 70.900002 9424800.000000
302 71.500000 9424800.000000
303 71.699997 9424800.000000
304 71.699997 9424800.000000
305 71.699997 9424800.000000
306 71.000000 9424800.000000
307 70.599998 9424800.000000
308 70.300003 9424800.000000
309 70.500000 9424800.000000
310 71.400002 9424800.000000
311 71.199997 9424800.000000
312 71.199997 9424800.000000
313 72.000000 9424800.000000
314 72.500000 9424800.000000
315 72.599998 9424800.000000
316 73.300003 9424800.000000
317 74.199997 9424800.000000
318 74.599998 9424800.000000
319 74.599998 9424800.000000
320 74.500000 9424800.000000
321 75.400002 9424800.000000
322 75.599998 9424800.000000
323 75.699997 9424800.000000
324 75.900002 9424800.000000
325 75.000000 9424800.000000
326 74.699997 9424800.000000
327 74.699997 9424800.000000
328 74.599998 9424800.000000
329 74.400002 9424800.000000
330 73.900002 9424800.000000
331 73.800003 9424800.000000
332 74.400002 9424800.000000
333 73.699997 9424800.000000
334 73.900002 9424800.000000
335 73.699997 9424800.000000
336 73.199997 9424800.000000
337 72.900002 9424800.000000
338 73.300003 9424800.000000
339 73.599998 9424800.000000
340 73.800003 9424800.000000
341 73.900002 9424800.000000
342 73.599998 9424800.000000
343 73.900002 9424800.000000
344 72.900002 9424800.000000
345 72.500000 9424800.000000
346 71.699997 9424800.000000
347 70.699997 9424800.000000
348 69.800003 9424800.000000
349 69.199997 9424800.000000
350 69.099998 9424800.000000
351 68.900002 9424800.000000
352 68.800003 9424800.000000
353 68.400002 9424800.000000
354 68.300003 9424800.000000
355 68.500000 9424800.000000
356 67.500000 9424800.000000
357 67.400002 9424800.000000
358 66.900002 9424800.000000
359 66.500000 9424800.000000
360 66.500000 9424800.000000
361 66.300003 9424800.000000
362 66.099998 9424800.000000
363 66.000000 9424800.000000
364 65.900002 9424800.000000
