frame ft primitives
3 79.800003 9352200.000000
4 68.900002 9352200.000000
5 74.099998 9352200.000000
6 73.699997 9352200.000000
7 73.199997 9352200.000000
8 73.599998 9352200.000000
9 74.000000 9352200.000000
10 73.800003 9352200.000000
11 73.800003 9352200.000000
12 74.199997 9352200.000000
13 74.199997 9352200.000000
14 73.900002 9352200.000000
15 74.800003 9352200.000000
16 74.300003 9352200.000000
17 81.500000 9352200.000000
18 66.099998 9352200.000000
19 74.000000 9352200.000000
20 76.900002 9352200.000000
21 70.800003 9352200.000000
22 73.699997 9352200.000000
23 74.099998 9352200.000000
24 74.199997 9352200.000000
25 74.099998 9352200.000000
26 73.699997 9352200.000000
27 74.000000 9352200.000000
28 73.500000 9352200.000000
29 73.400002 9352200.000000
30 73.400002 9352200.000000
31 73.300003 9352200.000000
32 73.300003 9352200.000000
33 72.699997 9352200.000000
34 72.800003 9352200.000000
35 83.800003 9352200.000000
36 73.800003 9352200.000000
37 61.299999 9352200.000000
38 72.500000 9352200.000000
39 72.500000 9352200.000000
40 71.599998 9352200.000000
41 72.400002 9352200.000000
42 72.599998 9352200.000000
43 73.099998 9352200.000000
44 72.699997 9352200.000000
45 73.500000 9352200.000000
46 80.599998 9352200.000000
47 70.000000 9352200.000000
48 69.400002 9352200.000000
49 73.199997 9352200.000000
50 73.599998 9352200.000000
51 73.699997 9352200.000000
52 74.000000 9352200.000000
53 74.199997 9352200.000000
54 74.599998 9352200.000000
55 74.699997 9352200.000000
56 74.199997 9352200.000000
57 75.800003 9352200.000000
58 77.099998 9352200.000000
59 84.400002 9352200.000000
60 77.699997 9352200.000000
61 69.400002 9352200.000000
62 77.699997 9352200.000000
63 77.400002 9352200.000000
64 77.599998 9352200.000000
65 77.599998 9352200.000000
66 77.400002 9352200.000000
67 77.400002 9352200.000000
68 77.000000 9352200.000000
69 77.900002 9352200.000000
70 77.099998 9352200.000000
71 80.300003 9352200.000000
72 73.699997 9352200.000000
73 77.099998 9352200.000000
74 85.400002 9352200.000000
75 69.300003 9352200.000000
76 77.000000 9352200.000000
77 76.900002 9352200.000000
78 77.099998 9352200.000000
79 96.599998 9352200.000000
80 64.500000 9352200.000000
81 77.099998 9352200.000000
82 77.099998 9352200.000000
83 77.000000 9352200.000000
84 76.400002 9352200.000000
85 76.599998 9352200.000000
86 76.400002 9352200.000000
87 92.699997 9352200.000000
88 67.400002 9352200.000000
89 75.300003 9352200.000000
90 75.000000 9352200.000000
91 74.300003 9352200.000000
92 74.199997 9352200.000000
93 73.699997 9352200.000000
94 73.300003 9352200.000000
95 73.599998 9352200.000000
96 72.900002 9352200.000000
97 71.800003 9352200.000000
98 71.699997 9352200.000000
99 71.400002 9352200.000000
100 71.099998 9352200.000000
101 71.199997 9352200.000000
102 70.699997 9352200.000000
103 70.199997 9352200.000000
104 70.900002 9352200.000000
105 70.699997 9352200.000000
106 71.300003 9352200.000000
107 70.800003 9352200.000000
108 70.599998 9352200.000000
109 70.500000 9352200.000000
110 77.800003 9352200.000000
111 88.000000 9352200.000000
112 66.400002 9352200.000000
113 63.799999 9352200.000000
114 70.000000 9352200.000000
115 69.900002 9352200.000000
116 69.699997 9352200.000000
117 69.699997 9352200.000000
118 69.800003 9352200.000000
119 70.099998 9352200.000000
120 76.699997 9352200.000000
121 63.400002 9352200.000000
122 70.300003 9352200.000000
123 70.099998 9352200.000000
124 69.800003 9352200.000000
125 70.800003 9352200.000000
126 78.699997 9352200.000000
127 77.000000 9352200.000000
128 60.500000 9352200.000000
129 69.900002 9352200.000000
130 70.500000 9352200.000000
131 70.500000 9352200.000000
132 70.500000 9352200.000000
133 71.099998 9352200.000000
134 70.400002 9352200.000000
135 70.300003 9352200.000000
136 71.699997 9352200.000000
137 70.500000 9352200.000000
138 71.099998 9352200.000000
139 71.000000 9352200.000000
140 70.500000 9352200.000000
141 70.500000 9352200.000000
142 70.699997 9352200.000000
143 71.199997 9352200.000000
144 71.599998 9352200.000000
145 70.900002 9352200.000000
146 71.800003 9352200.000000
147 72.400002 9352200.000000
148 73.599998 9352200.000000
149 73.300003 9352200.000000
150 73.900002 9352200.000000
151 73.199997 9352200.000000
152 73.900002 9352200.000000
153 75.099998 9352200.000000
154 75.800003 9352200.000000
155 75.599998 9352200.000000
156 75.400002 9352200.000000
157 75.599998 9352200.000000
158 76.199997 9352200.000000
159 76.800003 9352200.000000
160 76.000000 9352200.000000
161 76.000000 9352200.000000
162 76.099998 9352200.000000
163 76.000000 9352200.000000
164 76.300003 9352200.000000
165 77.199997 9352200.000000
166 77.300003 9352200.000000
167 77.199997 9352200.000000
168 76.500000 9352200.000000
169 76.599998 9352200.000000
170 76.599998 9352200.000000
