frame ft primitives
3 28.700001 4152320.750000
4 37.299999 4081296.750000
5 32.400002 4016788.000000
6 35.799999 3944243.250000
7 29.299999 3873870.500000
8 31.500000 3815769.500000
9 26.600000 3752347.250000
10 30.100000 3697830.000000
11 32.900002 3639186.000000
12 27.200001 3578152.750000
13 35.299999 3500178.000000
14 29.299999 3440448.000000
15 32.200001 3380935.250000
16 28.900000 3327938.500000
17 32.900002 3267122.500000
18 34.500000 3206632.250000
19 23.700001 3159391.250000
20 21.299999 3105634.250000
21 23.000000 3051442.750000
22 26.200001 3003984.500000
23 25.299999 2950987.750000
24 27.299999 2897556.500000
25 23.100000 2851293.000000
26 27.600000 2800033.750000
27 19.700001 2724774.000000
28 28.600000 2671777.250000
29 16.600000 2614327.750000
30 17.799999 2568281.500000
31 19.600000 2519628.500000
32 15.900000 2512026.500000
33 17.900000 2558724.500000
34 18.500000 2635830.500000
35 20.500000 2698601.500000
36 19.299999 2770494.500000
37 19.299999 2819581.750000
38 20.900000 2879746.250000
39 22.900000 2938281.500000
40 29.200001 2999097.500000
41 29.900000 3041668.750000
42 32.000000 3091624.750000
43 28.299999 3141363.500000
44 25.600000 3197075.500000
45 30.600000 3244533.500000
46 31.200001 3291448.750000
47 30.500000 3324137.500000
48 34.000000 3360084.000000
49 28.600000 3415144.000000
50 32.000000 3452611.250000
51 32.599998 3507020.000000
52 25.100000 3571093.500000
53 32.700001 3628977.500000
54 33.000000 3711188.000000
55 32.500000 3772220.750000
56 33.099998 3870178.500000
57 31.400000 3938379.250000
58 35.299999 4032426.500000
59 43.200001 4128754.500000
60 38.000000 4197933.000000
61 36.400002 4298062.000000
62 42.799999 4310551.000000
63 36.799999 4259944.000000
64 38.200001 4207707.000000
65 40.500000 4144393.500000
66 39.900002 4088029.500000
67 40.099998 4038834.500000
68 42.299999 3986923.250000
69 36.400002 3936641.500000
70 31.900000 3870395.250000
71 34.400002 3794918.500000
72 28.799999 3727478.000000
73 36.500000 3670354.500000
74 30.000000 3617574.500000
75 33.000000 3564469.250000
76 32.900002 3510386.500000
77 32.799999 3460321.500000
78 32.500000 3412212.000000
79 21.100000 3370944.000000
80 22.000000 3331087.750000
81 32.400002 3288842.500000
82 27.700001 3235411.250000
83 25.600000 3173292.000000
84 28.600000 3117688.750000
85 21.200001 3052203.000000
86 31.200001 3002464.250000
87 26.200001 2954680.250000
88 22.500000 2901683.500000
89 28.500000 2845211.500000
90 21.600000 2797970.500000
91 21.900000 2749317.500000
92 21.400000 2701316.500000
93 23.000000 2671451.500000
94 31.000000 2626925.500000
95 29.200001 2611938.500000
96 24.700001 2594454.000000
97 23.600000 2588806.750000
98 23.700001 2575883.500000
99 23.900000 2579032.750000
100 17.900000 2580553.250000
101 19.100000 2578381.250000
102 16.500000 2593368.000000
103 17.700001 2584462.750000
104 18.700001 2571756.500000
105 22.100000 2571322.250000
106 15.600000 2570562.000000
107 17.700001 2557204.250000
108 18.299999 2549819.500000
109 17.700001 2537873.500000
110 17.600000 2531140.250000
111 19.600000 2533638.000000
112 17.799999 2540371.250000
113 16.100000 2555032.250000
114 18.900000 2544715.250000
115 23.200001 2531574.500000
116 21.299999 2516913.500000
117 15.700000 2509203.000000
118 24.400000 2487265.750000
119 20.600000 2488026.000000
120 22.500000 2505184.750000
121 19.799999 2499103.250000
122 15.800000 2495519.500000
123 18.200001 2509854.500000
124 19.799999 2479663.750000
125 17.700001 2495302.250000
126 16.500000 2510506.250000
127 18.100000 2523103.750000
128 22.799999 2533746.500000
129 20.299999 2548950.500000
130 26.000000 2556226.750000
131 28.100000 2532443.500000
132 22.200001 2533963.750000
133 18.500000 2531031.500000
134 16.200001 2541674.500000
135 19.900000 2552425.750000
136 21.500000 2563068.500000
137 19.000000 2571430.750000
138 16.100000 2570996.500000
139 21.100000 2573277.000000
140 21.700001 2590110.000000
141 23.200001 2589892.750000
142 18.900000 2575340.500000
143 16.299999 2580770.500000
144 18.000000 2579467.250000
145 20.000000 2575449.000000
146 18.299999 2593911.000000
147 18.299999 2597929.250000
148 20.100000 2614002.000000
149 22.100000 2642672.500000
150 21.600000 2678293.250000
151 22.600000 2714891.500000
152 16.900000 2753010.000000
153 19.299999 2797210.250000
154 19.799999 2888868.500000
155 20.700001 3014410.250000
156 21.299999 3157545.000000
157 22.299999 3282760.750000
158 23.000000 3413624.000000
159 23.600000 3512232.750000
160 24.100000 3618769.250000
161 24.900000 3741052.750000
162 25.600000 3849109.500000
163 26.100000 3954343.250000
164 26.700001 4063594.750000
165 27.200001 4145804.750000
166 28.100000 4250495.000000
167 27.700001 4279491.000000
168 28.000000 4239527.000000
169 27.700001 4206078.000000
170 27.500000 4177733.500000
171 27.000000 4143850.500000
172 27.100000 4106708.750000
173 26.600000 4071956.750000
174 29.000000 4030797.500000
175 23.799999 3988552.000000
176 26.200001 3958035.500000
177 26.000000 3909925.500000
178 25.299999 3865074.000000
179 24.900000 3810013.500000
180 24.700001 3751804.000000
181 24.700001 3707495.250000
182 24.200001 3667530.500000
