frame ft primitives
3 26.000000 3958778.750000
4 24.400000 3927164.500000
5 26.799999 3921071.250000
6 29.100000 3917670.750000
7 28.200001 3914849.500000
8 25.799999 3914444.750000
9 26.299999 3925454.500000
10 26.299999 3932255.250000
11 24.700001 3934460.750000
12 30.100000 3952289.500000
13 24.900000 3953852.750000
14 27.400000 3967012.500000
15 28.000000 3960662.000000
16 27.100000 3960100.750000
17 26.799999 3959374.750000
18 26.600000 3958538.500000
19 25.900000 3974400.750000
20 26.700001 3981404.000000
21 30.400000 4003248.750000
22 30.700001 4008799.500000
23 26.100000 3999269.500000
24 26.000000 3981027.500000
25 27.000000 3957840.500000
26 25.900000 3945617.500000
27 31.400000 3942419.250000
28 26.200001 3949184.000000
29 26.900000 3953392.750000
30 26.900000 3953448.000000
31 25.900000 3959916.750000
32 29.299999 3964401.500000
33 24.700001 3964401.500000
34 29.100000 3964401.500000
35 28.900000 3964401.500000
36 28.700001 3964401.500000
37 25.200001 3964401.500000
38 28.600000 3964401.500000
39 27.000000 3964401.500000
40 26.100000 3964401.500000
41 25.299999 3964401.500000
42 27.799999 3964401.500000
43 28.900000 3964401.500000
44 25.500000 3964401.500000
45 30.000000 3964401.500000
46 27.700001 3964401.500000
47 28.000000 3964401.500000
48 28.299999 3964401.500000
49 29.600000 3964401.500000
50 28.100000 3964401.500000
51 24.500000 3964401.500000
52 28.400000 3964401.500000
53 26.799999 3964401.500000
54 26.100000 3964401.500000
55 30.500000 3964401.500000
56 26.500000 3964401.500000
57 27.200001 3964401.500000
58 23.299999 3964401.500000
59 30.700001 3964401.500000
60 28.200001 3964401.500000
61 27.400000 3964401.500000
62 30.700001 3964125.500000
63 28.600000 3968574.500000
64 27.100000 3961534.000000
65 26.900000 3963445.250000
66 28.700001 3972828.000000
67 30.799999 3976191.500000
68 30.799999 3979950.500000
69 27.299999 3981843.250000
70 29.100000 3985132.750000
71 29.000000 3985280.000000
72 28.500000 3990960.000000
73 27.200001 3996382.500000
74 29.799999 3996732.000000
75 27.000000 3997797.500000
76 30.299999 4002356.000000
77 33.799999 4020589.500000
78 28.799999 4027059.250000
79 26.700001 4037223.500000
80 31.200001 4057479.250000
81 28.600000 4064206.500000
82 30.299999 4067009.250000
83 24.200001 4061615.250000
84 30.200001 4059501.500000
85 32.500000 4072248.000000
86 29.700001 4115543.250000
87 28.799999 4132251.250000
88 27.000000 4123483.500000
89 32.000000 4115819.250000
90 28.600000 4114945.500000
91 28.299999 4097264.000000
92 28.600000 4104552.000000
93 28.700001 4104552.000000
94 29.500000 4104552.000000
95 29.600000 4104552.000000
96 30.000000 4104552.000000
97 25.600000 4104552.000000
98 30.299999 4104552.000000
99 27.900000 4104552.000000
100 30.900000 4104552.000000
101 23.600000 4104552.000000
102 32.400002 4104552.000000
103 31.500000 4104552.000000
104 28.100000 4104552.000000
105 25.700001 4104552.000000
106 30.299999 4104552.000000
107 28.000000 4104552.000000
108 28.299999 4104552.000000
109 26.700001 4104552.000000
110 26.600000 4104552.000000
111 30.100000 4104552.000000
112 28.000000 4104552.000000
113 30.000000 4104552.000000
114 26.600000 4104552.000000
115 28.799999 4104552.000000
116 28.700001 4104552.000000
117 29.700001 4104552.000000
118 26.900000 4104552.000000
119 36.799999 4104552.000000
