frame ft primitives
3 42.400002 17404000.000000
4 41.799999 17404000.000000
5 41.799999 17404000.000000
6 41.799999 17404000.000000
7 41.700001 17404000.000000
8 41.700001 17404000.000000
9 41.400002 17404000.000000
10 41.400002 17404000.000000
11 41.500000 17404000.000000
12 41.299999 17404000.000000
13 41.299999 17404000.000000
14 41.200001 17404000.000000
15 41.000000 17404000.000000
16 41.000000 17404000.000000
17 41.000000 17404000.000000
18 41.000000 17404000.000000
19 41.000000 17404000.000000
20 41.000000 17404000.000000
21 41.000000 17404000.000000
22 41.000000 17404000.000000
23 41.200001 17404000.000000
24 40.799999 17404000.000000
25 40.799999 17404000.000000
26 40.900002 17404000.000000
27 40.700001 17404000.000000
28 40.799999 17404000.000000
29 40.799999 17404000.000000
30 40.500000 17404000.000000
31 40.599998 17404000.000000
32 40.400002 17404000.000000
33 40.500000 17404000.000000
34 40.700001 17404000.000000
35 40.700001 17404000.000000
36 40.400002 17404000.000000
37 40.599998 17404000.000000
38 40.700001 17404000.000000
39 41.000000 17404000.000000
40 41.000000 17404000.000000
41 41.099998 17404000.000000
42 41.000000 17404000.000000
43 41.000000 17404000.000000
44 41.000000 17404000.000000
45 41.000000 17404000.000000
46 41.000000 17404000.000000
47 41.000000 17404000.000000
48 41.000000 17404000.000000
49 40.900002 17404000.000000
50 41.000000 17404000.000000
51 41.099998 17404000.000000
52 41.000000 17404000.000000
53 41.200001 17404000.000000
54 41.200001 17404000.000000
55 41.500000 17404000.000000
56 41.799999 17404000.000000
57 41.299999 17404000.000000
58 41.900002 17404000.000000
59 42.299999 17404000.000000
60 41.599998 17404000.000000
61 42.400002 17404000.000000
62 41.900002 17404000.000000
63 42.200001 17404000.000000
64 42.099998 17404000.000000
65 42.200001 17404000.000000
66 42.500000 17404000.000000
67 41.799999 17404000.000000
68 42.099998 17404000.000000
69 42.099998 17404000.000000
70 42.000000 17404000.000000
71 42.099998 17404000.000000
72 42.000000 17404000.000000
73 41.900002 17404000.000000
74 42.000000 17404000.000000
75 41.900002 17404000.000000
76 41.799999 17404000.000000
77 41.700001 17404000.000000
78 41.599998 17404000.000000
79 41.400002 17404000.000000
80 41.500000 17404000.000000
81 41.299999 17404000.000000
82 41.299999 17404000.000000
83 41.200001 17404000.000000
84 41.099998 17404000.000000
85 41.000000 17404000.000000
86 41.000000 17404000.000000
87 41.000000 17404000.000000
88 41.000000 17404000.000000
89 41.000000 17404000.000000
90 41.099998 17404000.000000
91 40.700001 17404000.000000
92 40.799999 17404000.000000
93 40.700001 17404000.000000
94 40.500000 17404000.000000
95 40.099998 17404000.000000
96 40.200001 17404000.000000
97 40.000000 17404000.000000
98 40.000000 17404000.000000
99 39.900002 17404000.000000
100 39.799999 17404000.000000
101 40.200001 17404000.000000
102 39.599998 17404000.000000
103 40.000000 17404000.000000
104 40.099998 17404000.000000
105 40.099998 17404000.000000
106 40.099998 17404000.000000
107 40.299999 17404000.000000
108 40.299999 17404000.000000
