frame ft primitives
3 70.800003 9424800.000000
4 70.699997 9424800.000000
5 71.400002 9424800.000000
6 70.900002 9424800.000000
7 71.199997 9424800.000000
8 71.300003 9424800.000000
9 70.800003 9424800.000000
10 70.900002 9424800.000000
11 71.300003 9424800.000000
12 70.900002 9424800.000000
13 71.000000 9424800.000000
14 70.800003 9424800.000000
15 70.800003 9424800.000000
16 70.800003 9424800.000000
17 70.699997 9424800.000000
18 80.300003 9424800.000000
19 60.799999 9424800.000000
20 70.599998 9424800.000000
21 70.300003 9424800.000000
22 70.599998 9424800.000000
23 70.599998 9424800.000000
24 70.300003 9424800.000000
25 70.900002 9424800.000000
26 88.900002 9424800.000000
27 71.699997 9424800.000000
28 82.699997 9424800.000000
29 78.000000 9424800.000000
30 71.199997 9424800.000000
31 71.699997 9424800.000000
32 71.000000 9424800.000000
33 70.800003 9424800.000000
34 88.000000 9424800.000000
35 68.800003 9424800.000000
36 69.599998 9424800.000000
37 74.199997 9424800.000000
38 68.900002 9424800.000000
39 75.199997 9424800.000000
40 59.799999 9424800.000000
41 70.900002 9424800.000000
42 71.800003 9424800.000000
43 71.599998 9424800.000000
44 72.000000 9424800.000000
45 71.800003 9424800.000000
46 71.900002 9424800.000000
47 71.900002 9424800.000000
48 72.099998 9424800.000000
49 72.199997 9424800.000000
50 71.699997 9424800.000000
51 70.900002 9424800.000000
52 71.099998 9424800.000000
53 70.900002 9424800.000000
54 78.800003 9424800.000000
55 63.500000 9424800.000000
56 71.099998 9424800.000000
57 80.099998 9424800.000000
58 71.500000 9424800.000000
59 72.199997 9424800.000000
60 84.900002 9424800.000000
61 69.599998 9424800.000000
62 74.800003 9424800.000000
63 61.200001 9424800.000000
64 72.900002 9424800.000000
65 82.699997 9424800.000000
66 74.800003 9424800.000000
67 70.000000 9424800.000000
68 75.400002 9424800.000000
69 74.300003 9424800.000000
70 80.500000 9424800.000000
71 66.699997 9424800.000000
72 72.500000 9424800.000000
73 72.900002 9424800.000000
74 72.099998 9424800.000000
75 72.599998 9424800.000000
76 73.000000 9424800.000000
77 72.199997 9424800.000000
78 72.500000 9424800.000000
79 72.699997 9424800.000000
80 72.500000 9424800.000000
81 72.699997 9424800.000000
82 73.000000 9424800.000000
83 72.400002 9424800.000000
84 73.000000 9424800.000000
85 92.000000 9424800.000000
86 74.599998 9424800.000000
87 85.900002 9424800.000000
88 65.599998 9424800.000000
89 71.500000 9424800.000000
90 71.099998 9424800.000000
91 70.699997 9424800.000000
92 70.199997 9424800.000000
93 70.199997 9424800.000000
94 70.199997 9424800.000000
95 70.500000 9424800.000000
96 77.199997 9424800.000000
97 70.199997 9424800.000000
98 78.300003 9424800.000000
99 70.099998 9424800.000000
100 69.699997 9424800.000000
101 70.099998 9424800.000000
102 78.300003 9424800.000000
103 74.699997 9424800.000000
104 69.800003 9424800.000000
105 76.900002 9424800.000000
106 70.599998 9424800.000000
107 69.699997 9424800.000000
108 69.500000 9424800.000000
109 70.000000 9424800.000000
110 70.300003 9424800.000000
111 70.099998 9424800.000000
112 70.000000 9424800.000000
113 70.400002 9424800.000000
114 69.300003 9424800.000000
115 69.099998 9424800.000000
116 69.400002 9424800.000000
117 77.400002 9424800.000000
118 70.599998 9424800.000000
119 70.900002 9424800.000000
120 74.500000 9424800.000000
121 64.400002 9424800.000000
122 67.599998 9424800.000000
123 70.500000 9424800.000000
124 70.900002 9424800.000000
125 70.699997 9424800.000000
126 70.199997 9424800.000000
127 69.900002 9424800.000000
128 69.000000 9424800.000000
129 69.300003 9424800.000000
130 69.900002 9424800.000000
131 70.199997 9424800.000000
132 77.000000 9424800.000000
133 75.800003 9424800.000000
134 70.000000 9424800.000000
135 69.300003 9424800.000000
