frame ft primitives
3 10.900000 40000.000000
4 10.300000 40000.000000
5 19.100000 40000.000000
6 10.300000 40000.000000
7 10.200000 40000.000000
8 10.500000 40000.000000
9 10.600000 40000.000000
10 10.100000 40000.000000
11 10.600000 40000.000000
12 10.200000 40000.000000
13 10.500000 40000.000000
14 10.500000 40000.000000
15 10.600000 40000.000000
16 11.100000 40000.000000
17 10.500000 40000.000000
18 10.300000 40000.000000
19 10.300000 40000.000000
20 10.100000 40000.000000
21 10.200000 40000.000000
22 10.600000 40000.000000
23 10.100000 40000.000000
24 10.000000 40000.000000
25 10.400000 40000.000000
26 10.800000 40000.000000
27 11.000000 40000.000000
28 10.400000 40000.000000
29 10.400000 40000.000000
30 11.000000 40000.000000
31 10.800000 40000.000000
32 10.000000 40000.000000
33 10.000000 40000.000000
34 10.700000 40000.000000
35 10.400000 40000.000000
36 10.200000 40000.000000
37 10.500000 40000.000000
38 10.900000 40000.000000
39 10.800000 40000.000000
40 10.700000 40000.000000
41 10.400000 40000.000000
42 10.100000 40000.000000
43 9.700000 40000.000000
44 9.600000 40000.000000
45 9.800000 40000.000000
46 9.900000 40000.000000
47 9.800000 40000.000000
48 9.500000 40000.000000
49 10.500000 40000.000000
50 10.900000 40000.000000
51 10.800000 40000.000000
52 9.800000 40000.000000
53 10.100000 40000.000000
54 10.800000 40000.000000
55 10.800000 40000.000000
56 10.700000 40000.000000
57 10.900000 40000.000000
58 10.800000 40000.000000
59 10.900000 40000.000000
60 10.800000 40000.000000
61 10.600000 40000.000000
62 10.700000 40000.000000
63 10.600000 40000.000000
64 10.000000 40000.000000
65 10.100000 40000.000000
66 9.900000 40000.000000
67 10.100000 40000.000000
68 10.800000 40000.000000
69 10.500000 40000.000000
70 10.400000 40000.000000
71 10.300000 40000.000000
72 10.500000 40000.000000
73 11.100000 40000.000000
74 11.000000 40000.000000
75 10.800000 40000.000000
76 10.400000 40000.000000
77 10.300000 40000.000000
78 9.600000 40000.000000
79 10.400000 40000.000000
80 10.600000 40000.000000
81 10.100000 40000.000000
82 10.500000 40000.000000
83 10.800000 40000.000000
84 10.500000 40000.000000
85 11.000000 40000.000000
86 10.600000 40000.000000
87 10.400000 40000.000000
88 10.600000 40000.000000
89 10.600000 40000.000000
90 10.900000 40000.000000
91 10.700000 40000.000000
92 10.100000 40000.000000
93 10.100000 40000.000000
94 10.600000 40000.000000
95 11.000000 40000.000000
96 10.900000 40000.000000
97 11.000000 40000.000000
98 11.100000 40000.000000
99 10.400000 40000.000000
100 10.700000 40000.000000
101 10.300000 40000.000000
102 10.300000 40000.000000
103 10.100000 40000.000000
104 10.600000 40000.000000
105 10.400000 40000.000000
106 10.200000 40000.000000
107 10.600000 40000.000000
108 10.500000 40000.000000
109 11.000000 40000.000000
110 10.700000 40000.000000
111 10.800000 40000.000000
112 10.400000 40000.000000
113 11.100000 40000.000000
114 10.900000 40000.000000
115 10.300000 40000.000000
116 10.600000 40000.000000
117 10.700000 40000.000000
118 10.700000 40000.000000
119 10.700000 40000.000000
120 10.700000 40000.000000
121 10.900000 40000.000000
122 10.800000 40000.000000
123 9.800000 40000.000000
124 10.200000 40000.000000
125 10.700000 40000.000000
126 10.300000 40000.000000
127 10.600000 40000.000000
128 10.200000 40000.000000
129 9.900000 40000.000000
130 10.100000 40000.000000
131 10.400000 40000.000000
132 10.100000 40000.000000
133 10.700000 40000.000000
134 10.900000 40000.000000
135 11.000000 40000.000000
136 10.900000 40000.000000
137 10.800000 40000.000000
138 10.600000 40000.000000
139 10.700000 40000.000000
140 11.000000 40000.000000
141 10.600000 40000.000000
142 10.800000 40000.000000
